categoria,titulo,archivo original 
artículos en revistas,,https://docs.google.com/document/d/1dtUfvSVhqcFxY-xkI-bHdFf1zHSaSqdh/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,,https://docs.google.com/document/d/1Fc9xT06kWFbctv-3UkKOx0Ah0OdnZipO/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,,https://docs.google.com/document/d/1vjPwNGjhdPmLAupVRE1GwfbYT8ghWKAe/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,,https://docs.google.com/document/d/14k96s9JeyMVg9ESxU-TqVPn8FNXLuZyQ/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,,https://docs.google.com/document/d/1pWz_UmEm0DPDpKoby7TlQzQcwZv2-yeb/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,,https://docs.google.com/document/d/1s__5U3KEIZvBU2-pHj-4SKHjUryZJpez/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,,https://docs.google.com/document/d/1n9isH133OkYCNaMq31auOYJCwLbWoLPF/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,,https://docs.google.com/document/d/1EjpHFAS2xxM74da_5uFo3s6g-0MnO6Y0/edit?usp=drive_link&ouid=107375051839904527995&rtpof=true&sd=true
artículos en revistas,Lista articoli Fares.docx,https://docs.google.com/document/d/1M-PYhWV7_B1To2zblAJIpNAYRI0Mc3wr/edit?usp=drive_link&ouid=114686207469780326090&rtpof=true&sd=true
artículos en revistas,El testamento espiritual de H.U. von Balthasar,https://drive.google.com/file/d/1uDmMmfBMAquqOBQYCMwahw2CtQPjQJpg/view?usp=drive_link
artículos en revistas,Fenomenología de la verdad en H.U. von Balthasar (1),https://drive.google.com/file/d/12zsXxaDdZwZ7J4JuSwzT_Lj4YZUwiSu6/view?usp=drive_link
artículos en revistas,Fenomenología de la verdad en H.U. von Balthasar (2),https://drive.google.com/file/d/1mum_RrIgaw5CbXf9RLdzBTPwM68lCODK/view?usp=drive_link
artículos en revistas,Fenomenología de la verdad en H.U. von Balthasar (3),https://drive.google.com/file/d/1JQTp5vxA03k5gtaJI4anjEklUNQaByyU/view?usp=drive_link
artículos en revistas,Fenomenología de la verdad en H.U. von Balthasar (4),https://drive.google.com/file/d/1HCRzoNrwLzHz3o0mb0oNbPzHfZmm9fqL/view?usp=drive_link
artículos en revistas,La configuración de la verdad en H.U. von Balthasar,https://drive.google.com/file/d/1ZTWLY2YY7-1Otu2L8LXSYNqNREVJPZk6/view?usp=drive_link
libro,El secreto de la belleza.pdf,https://drive.google.com/file/d/1YXNloXHVkhEmi8QbBgUwujAExixEhKFq/view?usp=drive_link
libro,Formar el corazón en esperanza.pdf,https://drive.google.com/file/d/1OyWp1ITIJRn645e8-n6ZIDOzLdIF1BiY/view?usp=drive_link
libro,Educar_es_difícil_posible_y_bello.pdf,https://drive.google.com/file/d/1HkQk6jh9Fm084dWSLEXa1RE7_CW8VxoT/view?usp=drive_link
libro,Bibliografía escritos de Diego.docx,https://docs.google.com/document/d/1DNINYlXD2FPcLEJB1oUJfKic9f1Sb_A5/edit?usp=drive_link&ouid=114686207469780326090&rtpof=true&sd=true
libro,El Arte de la Amistad (QUIJOTE ESP) (revisada),https://docs.google.com/document/d/1SPR8vi36eFnJIY-wEp8CoRBaA8iTzstG/edit?usp=drive_link&ouid=114686207469780326090&rtpof=true&sd=true
video,Homenaje a Diego Fares,https://youtu.be/cORPrnrQh_0?si=UVrXI1kro6Ata7e2
video,Adviento Tiempo de Esperanza,https://youtu.be/-RQaS_ECeTg?si=HVWIx5k9Yh8yYhnX
video,La exhortación a la santidad del Papa Francisco: “Protocolo para el combate espiritual”.,https://www.youtube.com/watch?v=WK4AZNPrTIQ&t=17s
video,"""Repensar la cuestión social desde la mirada pastoral de Francisco”.",https://www.youtube.com/watch?v=AnjpXckyMOA
video,Hablemos de Dignidad (2011),https://www.youtube.com/watch?v=2Tywm48ydaM
video,"Manos Abiertas, Casa Común.",https://www.youtube.com/watch?v=_HCRqMabSTM&t=377s
video,Lisboa marzo 2018 “La importancia del discernimiento en la vida cristiana”,https://youtu.be/LVvnYNELTL0?si=MZItZPY1sKmXV8ix
video,“El Papa Francisco y el discernimiento”,https://youtu.be/_KONkwO9MKA?si=2XkIBUXKwBaK0FUY
video,Tema:“El discernimiento espiritual en el magisterio del Papa Francisco” (en ITALIANO),https://youtu.be/L0k_bjtlqv4?si=sgrWVrPawX5n_YnJ
video,La Cultura del Encuentro en el Pensamiento del Papa Francisco,Parte 1: https://youtu.be/9-fC4sWQ_JY?si=WMfCXtrn5lQeKY8s 
video,,Parte 2: https://youtu.be/pJD483lnmbE?si=LNs8VAoe5TzAR9ML 
video,,Parte 3: https://youtu.be/-i52ZxLrXiQ?si=tkLJY19IgnycGmRn
video,Diego Fares con el grupo de Matrimonios,https://youtu.be/xeJcqIIxYsk?si=BPHvTVtzEsDnGZBc
video,Homenaje a Fares de los Familiares y Amigos Víctimas Tragedia Once,https://youtu.be/d8e2gi_6nCw?si=jnSNDuyG1brX121U
audio,Discernimiento de espiritus: consolación y desolación,https://radiomaria.org.ar/programacion/discernimiento-de-espiritus-consolacion-y-desolacion/ 
audio,El discernimiento en la vida cotidiana,https://radiomaria.org.ar/programacion/el-discernimiento-en-la-vida-cotidiana-2/ 
audio,El discernimiento en la vida cotidiana II Las alegrías duraderas,https://radiomaria.org.ar/programacion/el-discernimiento-en-la-vida-cotidiana-iilas-alegrias-duraderas/ 
audio,El discernimiento en la vida cotidiana III Buscar y hallar lo que a Dios le agrada,https://radiomaria.org.ar/programacion/el-discernimiento-en-la-vida-cotidiana-iiibuscar-y-hallar-lo-que-a-dios-le-agrada/ 
audio,El discernimiento en la vida cotidiana IV Las primeras 2 reglas de San Ignacio,https://radiomaria.org.ar/programacion/el-discernimiento-en-la-vida-cotidiana-ivlas-primeras-2-reglas-de-san-ignacio/ 
audio,El discernimiento en la vida cotidiana V Recibir la consolación y resistir la desolación,https://radiomaria.org.ar/programacion/el-discernimiento-en-la-vida-cotidiana-vrecibir-la-consolacion-y-resistir-la-desolacion/ 
audio,El discernimiento en la vida cotidiana VI Cómo actuar cuando estamos desolados o consalados,https://radiomaria.org.ar/programacion/el-discernimiento-en-la-vida-cotidiana-vicomo-actuar-cuando-estamos-desolados-o-consalados/ 
audio,El discernimiento en la vida cotidiana VII Los 3 pasos del discernimiento,https://radiomaria.org.ar/programacion/el-discernimiento-en-la-vida-cotidiana-viilos-3-pasos-del-discernimiento/ 
audio,El discernimiento en la vida cotidiana Conclusiones,https://radiomaria.org.ar/programacion/el-discernimiento-en-la-vida-cotidiana-conclusiones/
audio,Peces deseosos de los anzuelos de Dios,https://radiomaria.org.ar/programacion/peces-deseosos-de-los-anzuelos-de-dios/
audio,Sólo se trata de amar mucho,https://radiomaria.org.ar/programacion/solo-se-trata-de-amar-mucho/ 
audio,“La Alegría del amor” la encíclica del Papa atravesada por la misericordia,https://radiomaria.org.ar/programacion/la-alegria-del-amor/
audio,“Bergoglio es un tiempista de la espiritualidad”,https://drive.google.com/file/d/1zfQw6-wPnkJBwOdmunsUudfM_uqJCAnJ/view?usp=drive_link
audio,La santidad es ‘la alegría del amor’ ,https://drive.google.com/file/d/11M9eO7NHUjbVw3UUmJ8fXQSISKZAfopB/view?usp=drive_link
audio,La exhortación del Papa y sus claves para un discernimiento evangélico del debate por el aborto,https://drive.google.com/file/d/1TL1PoLseoEe5-OVRuGcSDQcbBhJ__wTj/view?usp=drive_link
audio,¿Debo aguantar las humillaciones?,https://drive.google.com/file/d/1JwtEI1pVUIlfVDBjDtPiv84ZBmTAyBOn/view?usp=drive_link
audio,De la “audacia” para evangelizar hasta cómo rezar cuando se está cansado,https://drive.google.com/file/d/1QF22AuFNsJF7oU7-HC7aG-qmZxE8j-Y7/view?usp=drive_link
audio,De qué manera el Evangelio ilumina toda la realidad,https://drive.google.com/file/d/140IlddCsPAsgjTBXW_J05FLGPL3Ne0YB/view?usp=drive_link
audio,El paradigma tecnocrático y las manos de Jesús ,https://drive.google.com/file/d/19aGkvIyHYU3mmBk-VFLVkOEXtxNy32hG/view?usp=drive_link
audio,Lo del coronavirus se discierne mirando a Jesús en la cruz,https://drive.google.com/file/d/1KtuftDmJnSCHQM_s4KHXkKScGQAdZaG5/view?usp=drive_link
audio,Para estar con Jesús no hacen falta barbijos ,https://drive.google.com/file/d/1KTLleWtaCuhZVsm5j0UEH8eezH3-bDGB/view?usp=drive_link
audio,Es falsa y hace daño la idea de una esperanza que absolutiza el más allá,https://drive.google.com/file/d/1D9nS_QSZYM9QSEQGW4wjR9mLbD0-eT5i/view?usp=drive_link
audio,El fallecimiento del padre Diego Fares sj,https://drive.google.com/file/d/19_gMyc73bPxG1ex3qnzDx2JEQt27owtU/view?usp=drive_link
libro,Buscar y hallar la voluntad de Dios,https://drive.google.com/file/d/1hY_yGu7I90U6i0J-FWcoTNhzJXfLcFuo/view?usp=drive_link
libro,LA BIBLIA. Libro del Pueblo de Dios,https://drive.google.com/file/u/2/d/1NDEm68Fd-m-FyjphIE7t6KaGFkDyLRdi/view?usp=drive_open
libro,Obras completas de San Ignacio de Loyola,https://drive.google.com/file/d/1f_nNRi1WS6z5GE86kt2Cneeru8qUqSgF/view
libro,Carta Encíclica Dilexit nos (Papa Francisco),https://drive.google.com/file/d/1xKPAT5e3bvMBqmMiaYIWvccIm_GeQssH/view
libro,Carta Encíclica Fratelli Tutti (Papa Fracisco),https://drive.google.com/file/d/1LeeIzgVLCZu_0Pgc5pL64pHbO5icM4xs/view
libro,Carta Encíclica Laudato si (Papa Francisco),https://drive.google.com/file/d/1hfClk8xW3LNR8irK-Hue4SAPb9JF-w0Q/view
libro,Carta Encíclica Lumen Fidei (Papa Francisco),https://drive.google.com/file/d/16ph3Oa4XsV1wb6ulia9z7k6W2J2tElTK/view
libro,Aparecida 2007,https://drive.google.com/file/d/1gsM8vweJbmCYaPEhND9t5Bxj9bS0jBII/view
libro,Peregrinar con el corazon lleno de rostros,https://docs.google.com/document/d/12bbxOZh13kn2mBy5-lrYX-pIdEU30gms/edit?usp=drive_link&ouid=114686207469780326090&rtpof=true&sd=true
libro,Pequenios gestos con gran amor,https://docs.google.com/document/d/1cw9NL1MacZjJy6H58Ihmg_9eZWbeCcHX/edit?usp=drive_link&ouid=114686207469780326090&rtpof=true&sd=true
libro,Come goccia  su una spugna  Papa Francesco  maestro di discernimento,https://drive.google.com/file/d/1SKXFeorBj9a90pZ48cAZPWmXagEZVxJu/view?usp=drive_link
libro,El olor del pastor ,https://drive.google.com/file/d/1OYz-wDqxg-z3rySrZMi2YEBm1MTutPLV/view?usp=drive_link
libro,Apesebrar el corazón,https://drive.google.com/file/d/1RFLYQSmaSpYEOtaNkhHTBGLmHjaocCi8/view?usp=drive_link
libro,Papa Francesco è come un bambú All Radici della Coltura Dell´Incontro,https://drive.google.com/file/d/1YEw9YP1KxqU2uTNii_DyNbETlHMKyjW2/view?usp=drive_link
libro,PEREGRINAR CON EL CORAZÓN LLENO DE ROSTROS,https://drive.google.com/file/d/18VUvovD4y4nqMcgm5q8owVAf2Oh1Zu11/view?usp=drive_link
libro,PEQUEÑOS GESTOS CON GRAN AMOR,https://drive.google.com/file/d/1PAxL1EKU1GoixgYnJaijDK47mZk1fnzz/view?usp=drive_link
libro,San Jose la ternura de un padre,https://drive.google.com/file/d/1BRiuQI8_QTZOO_NFAJ9v3ErC2FB9dFfw/view?usp=drive_link
libro,The Heart of Pope Francis How a New Culture of Encounter is Changing the Church and thevworld,https://drive.google.com/file/d/1KA2T_j1_UT7qn3ST1LXRkwVWsaQsrjUa/view?usp=drive_link
libro,La Cultura del Encuentro,https://drive.google.com/file/d/12Lv7s3UUYGZbuwYDNW1aQylGcdQkiRYX/view?usp=drive_link
